asset_id,asset_type,asset_subtype,address,city,state,zip,country,region,subregion,business_unit,year_built,sqft,service_type,unit,vendor,account_id,meter_number,date,year,cost,usage,emission_category,service_subcategory1,service_subcategory2,emission_scope,kgco2e_perunit,kg_co2e,mt_co2e,ef_source,ef_publishdate
B1866,Building,Office,"",Sacramento,California,95816,United States,West Coast,CAMX,Operations,1999,6074,Electricity,kWh,"","","","",2023,"",85928.162,Indirect Energy,"","",Scope 2,0.226498135962475,19462.5685196816,19.4625685196816,USEPA eGRID2022,01/30/2024
B1867,Building,Office,"",Sacramento,California,95825,United States,West Coast,CAMX,Operations,2004,3959,Electricity,kWh,"","","","",2023,"",44956.454,Indirect Energy,"","",Scope 2,0.226498135962475,10182.5530304828,10.1825530304828,USEPA eGRID2022,01/30/2024
B1868,Building,Office,"",Sacramento,California,95825,United States,West Coast,CAMX,Operations,2004,8070,Electricity,kWh,"","","","",2023,"",106728.394,Indirect Energy,"","",Scope 2,0.226498135962475,24173.7822952686,24.1737822952686,USEPA eGRID2022,01/30/2024
B2074,Building,Office,"",Indio,California,92203,United States,West Coast,AZNM,Operations,2010,3543,Electricity,kWh,"","","","",2023,"",49348,Indirect Energy,"","",Scope 2,0.353493091562593,17444.1770824309,17.4441770824309,USEPA eGRID2022,01/30/2024
B2074,Building,Office,"",Indio,California,92203,United States,West Coast,"",Operations,2010,3543,Natural Gas,therms,"","","","",2023,"",25.981,Stationary,"","",Scope 1,5.31145,137.99678245,0.13799678245,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Capital Goods,USD,"","","","",2023,"",22219.24,Capital Goods,Manufacturing,Electronic Computer Manufacturing,Scope 3,0.099836223555635,2218.28501187631,2.21828501187631,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Capital Goods,USD,"","","","",2023,"",424731.11,Capital Goods,Manufacturing,All Other Miscellaneous General Purpose Machinery Manufacturing,Scope 3,0.23036793444453,97844.4285050325,97.8444285050325,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",533840.64,Purchased Goods and Services,"Professional, Scientific, and Technical Services",All Other Legal Services,Scope 3,0.048135513559311,25696.6933652313,25.6966933652313,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",130615.22,Purchased Goods and Services,"Professional, Scientific, and Technical Services",Human Resources Consulting Services,Scope 3,0.075508928222353,9862.61527172685,9.86261527172685,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",988346.4,Purchased Goods and Services,"Professional, Scientific, and Technical Services",Landscape Architectural Services,Scope 3,0.110830140518611,109538.570393063,109.538570393063,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",154157.66,Purchased Goods and Services,Administrative and Support and Waste Mgmt. Services,Facilities Support Services,Scope 3,0.189894805963053,29273.7389334183,29.2737389334183,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",42621.18,Purchased Goods and Services,Administrative and Support and Waste Mgmt. Services,Janitorial Services,Scope 3,0.15366994188961,6549.59425386661,6.54959425386661,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",160131.34,Purchased Goods and Services,Administrative and Support and Waste Mgmt. Services,Office Administrative Services,Scope 3,0.093759740333414,15013.8728576416,15.0138728576416,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",15929.275,Purchased Goods and Services,Administrative and Support and Waste Mgmt. Services,Security Systems Services (except Locksmiths),Scope 3,0.071457042281532,1138.25887718915,1.13825887718915,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",321181.5,Purchased Goods and Services,Educational Services,Professional and Management Development Training,Scope 3,0.11199615137046,35971.0918913914,35.9710918913914,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Purchased Goods and Services,USD,"","","","",2023,"",1795761.13,Purchased Goods and Services,Information,Wireless Telecommunications Carriers (except Satellite),Scope 3,0.150759624407594,270728.273484557,270.728273484557,US EPA Supply Chain Emission Factors,04/20/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Business Travel,vehicle-mile,"","","","",2023,"",15000,Business Travel,Ground Travel,Passenger Car,Scope 3,0.315079,4726.185,4.726185,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Business Travel,vehicle-mile,"","","","",2023,"",500,Business Travel,Ground Travel,Light-Duty Truck,Scope 3,0.470544,235.272,0.235272,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Business Travel,passenger-mile,"","","","",2023,"",37000,Business Travel,Rail Travel,Intercity Rail - National Average,Scope 3,0.1139466,4216.0242,4.2160242,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Business Travel,passenger-mile,"","","","",2023,"",60000,Business Travel,Air Travel,Air Travel - Short Haul,Scope 3,0.2089282,12535.692,12.535692,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Business Travel,passenger-mile,"","","","",2023,"",110000,Business Travel,Air Travel,Air Travel - Medium Haul,Scope 3,0.1301033,14311.363,14.311363,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Business Travel,passenger-mile,"","","","",2023,"",73000,Business Travel,Air Travel,Air Travel - Long Haul,Scope 3,0.1643948,12000.8204,12.0008204,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Employee Commuting,vehicle-mile,"","","","",2023,"",70000,Employee Commuting,Ground Travel,Passenger Car,Scope 3,0.315079,22055.53,22.05553,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Employee Commuting,passenger-mile,"","","","",2023,"",84000,Employee Commuting,Rail Travel,Transit Rail,Scope 3,0.0965155,8107.302,8.107302,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
Enterprise,Enterprise,"","","","","",United States,West Coast,"","","","",Employee Commuting,passenger-mile,"","","","",2023,"",3000,Employee Commuting,Ground Travel,Bus,Scope 3,0.0554679,166.4037,0.1664037,EPA CCCL Emission Factors for GHG Inventories,09/12/2023
